timestamp,event,spotPrice,markPrice,fundingRate,funding_pnl_usd,funding_pnl_formula,basis_pnl_usd,basis_pnl_formula,total_pnl_usd
2024-03-06 08:00:00.000,Close Position,66941.23,66736.6,,0.0,0.000000 * 66941.23 = 0.0000,7.200903992244415,(66941.23 - 66736.60) - (66110.00 - 66302.30) = 396.9300; 396.9300 * 0.018141 = 7.2009,7.200903992244415
2024-03-08 16:00:00.001,Funding,,,0.00055975,0.0,,0.0,,0.0
2024-03-09 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-03-09 08:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-03-09 16:00:00.000,Funding,,,0.00020042,0.0,,0.0,,0.0
2024-03-10 00:00:00.000,Funding,,,0.00020619,0.0,,0.0,,0.0
2024-03-10 08:00:00.000,Funding,,,0.00073722,0.0,,0.0,,0.0
2024-03-10 08:00:00.000,Close Position,69635.35,69533.6,,0.0,0.000000 * 69635.35 = 0.0000,5.429815675036032,(69635.35 - 69533.60) - (67208.55 - 67408.00) = 301.2000; 301.2000 * 0.018027 = 5.4298,5.429815675036032
2024-03-11 08:00:00.000,Funding,,,0.00107745,0.0,,0.0,,0.0
2024-03-11 16:00:00.000,Funding,,,0.00098585,0.0,,0.0,,0.0
2024-03-11 16:00:00.000,Close Position,72501.1,72111.9,,0.0,0.000000 * 72501.10 = 0.0000,25.01943460987522,(72501.10 - 72111.90) - (68095.99 - 69067.70) = 1360.9100; 1360.9100 * 0.018384 = 25.0194,25.01943460987522
2024-03-12 08:00:00.001,Funding,,,0.00057822,0.0,,0.0,,0.0
2024-03-12 16:00:00.000,Funding,,,0.00073692,0.0,,0.0,,0.0
2024-03-13 00:00:00.000,Funding,,,0.00030843,0.0,,0.0,,0.0
2024-03-13 08:00:00.000,Funding,,,0.00055361,0.0,,0.0,,0.0
2024-03-13 08:00:00.000,Close Position,73433.5,73008.0,,0.0,0.000000 * 73433.50 = 0.0000,11.681188808579572,(73433.50 - 73008.00) - (71988.27 - 72196.10) = 633.3300; 633.3300 * 0.018444 = 11.6812,11.681188808579572
2024-03-15 16:00:00.000,Funding,,,0.00017044,0.0,,0.0,,0.0
2024-03-16 00:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-03-16 00:00:00.001,Close Position,69499.85,69532.96632458,,0.0,0.000000 * 69499.85 = 0.0000,27.087515008689845,(69499.85 - 69532.97) - (67066.26 - 68443.00) = 1343.6237; 1343.6237 * 0.020160 = 27.0875,27.087515008689845
2024-03-17 00:00:00.000,Funding,,,0.00050823,0.0,,0.0,,0.0
2024-03-17 08:00:00.000,Funding,,,0.00042096,0.0,,0.0,,0.0
2024-03-17 08:00:00.000,Close Position,66521.1,65639.7,,0.0,0.000000 * 66521.10 = 0.0000,22.349206945181145,(66521.10 - 65639.70) - (68187.05 - 68398.00) = 1092.3500; 1092.3500 * 0.020460 = 22.3492,22.349206945181145
2024-03-18 08:00:00.000,Funding,,,0.0002176,0.0,,0.0,,0.0
2024-03-18 16:00:00.001,Funding,,,0.00013347,0.0,,0.0,,0.0
2024-03-18 16:00:00.001,Close Position,67459.11,67484.53265322,,0.0,0.000000 * 67459.11 = 0.0000,21.755902666831428,(67459.11 - 67484.53) - (67301.94 - 68404.00) = 1076.6373; 1076.6373 * 0.020207 = 21.7559,21.755902666831428
2024-03-25 00:00:00.000,Funding,,,0.00036728,0.0,,0.0,,0.0
2024-03-25 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-03-25 08:00:00.000,Close Position,66938.67,66872.0,,0.0,0.000000 * 66938.67 = 0.0000,10.891919454927649,(66938.67 - 66872.00) - (65249.04 - 65705.10) = 522.7300; 522.7300 * 0.020837 = 10.8919,10.891919454927649
2024-03-27 00:00:00.001,Funding,,,0.00040304,0.0,,0.0,,0.0
2024-03-27 08:00:00.001,Funding,,,0.00052617,0.0,,0.0,,0.0
2024-03-27 16:00:00.000,Funding,,,0.00063059,0.0,,0.0,,0.0
2024-03-27 16:00:00.000,Close Position,69244.0,68911.8,,0.0,0.000000 * 69244.00 = 0.0000,18.58074424661249,(69244.00 - 68911.80) - (69729.99 - 70330.10) = 932.3100; 932.3100 * 0.019930 = 18.5807,18.58074424661249
2024-03-29 00:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-03-29 00:00:00.001,Close Position,70780.6,70811.43941888,,0.0,0.000000 * 70780.60 = 0.0000,11.592694497121327,(70780.60 - 70811.44) - (70686.95 - 71312.20) = 594.4106; 594.4106 * 0.019503 = 11.5927,11.592694497121327
2024-03-31 00:00:00.000,Funding,,,0.00014525,0.0,,0.0,,0.0
2024-03-31 00:00:00.000,Close Position,69872.29,69659.9,,0.0,0.000000 * 69872.29 = 0.0000,6.261024404632297,(69872.29 - 69659.90) - (70000.00 - 70106.00) = 318.3900; 318.3900 * 0.019665 = 6.2610,6.261024404632297
2024-03-31 16:00:00.000,Funding,,,0.00084788,0.0,,0.0,,0.0
2024-03-31 16:00:00.000,Close Position,70469.21,70451.9,,0.0,0.000000 * 70469.21 = 0.0000,2.8359560881411854,(70469.21 - 70451.90) - (70266.00 - 70394.10) = 145.4100; 145.4100 * 0.019503 = 2.8360,2.8359560881411854
2024-04-01 08:00:00.000,Funding,,,0.00011585,0.0,,0.0,,0.0
2024-04-01 16:00:00.001,Funding,,,0.0001516,0.0,,0.0,,0.0
2024-04-02 00:00:00.003,Funding,,,0.0001,0.0,,0.0,,0.0
2024-04-02 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-04-02 16:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-04-02 16:00:00.000,Close Position,65543.91,64911.96034592,,0.0,0.000000 * 65543.91 = 0.0000,16.652151099531586,(65543.91 - 64911.96) - (71152.86 - 71384.90) = 863.9897; 863.9897 * 0.019274 = 16.6522,16.652151099531586
2024-05-22 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-05-22 00:00:00.000,Close Position,70120.01,70144.1,,0.0,0.000000 * 70120.01 = 0.0000,3.0751635391161503,(70120.01 - 70144.10) - (69668.03 - 69861.40) = 169.2800; 169.2800 * 0.018166 = 3.0752,3.0751635391161503
2024-05-28 00:00:00.000,Funding,,,0.0002135,0.0,,0.0,,0.0
2024-05-28 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-05-28 08:00:00.000,Close Position,68159.99,67639.43650311,,0.0,0.000000 * 68159.99 = 0.0000,13.526538088146552,(68159.99 - 67639.44) - (70161.22 - 70388.00) = 747.3335; 747.3335 * 0.018100 = 13.5265,13.526538088146552
2024-06-05 16:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-06-06 00:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-06-06 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-06-06 16:00:00.000,Funding,,,0.00022125,0.0,,0.0,,0.0
2024-06-07 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-06-07 00:00:00.000,Close Position,70883.05,70787.77809781,,0.0,0.000000 * 70883.05 = 0.0000,6.948381941695282,(70883.05 - 70787.78) - (70927.57 - 71232.23) = 399.9314; 399.9314 * 0.017374 = 6.9484,6.948381941695282
2024-06-08 00:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-06-08 00:00:00.001,Close Position,69352.6,69330.75517463,,0.0,0.000000 * 69352.60 = 0.0000,4.515984691088407,(69352.60 - 69330.76) - (70873.47 - 71112.10) = 260.4748; 260.4748 * 0.017338 = 4.5160,4.515984691088407
2024-06-29 16:00:00.000,Funding,,,0.00021407,0.0,,0.0,,0.0
2024-06-30 00:00:00.000,Funding,,,0.00014908,0.0,,0.0,,0.0
2024-06-30 00:00:00.000,Close Position,61024.55,60917.9,,0.0,0.000000 * 61024.55 = 0.0000,4.421410428706231,(61024.55 - 60917.90) - (60982.03 - 61100.00) = 224.6200; 224.6200 * 0.019684 = 4.4214,4.421410428706231
2024-11-19 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-11-19 00:00:00.000,Close Position,91042.94,90577.65254761,,0.0,0.000000 * 91042.94 = 0.0000,7.859817934354237,(91042.94 - 90577.65) - (92304.01 - 92444.23) = 605.5085; 605.5085 * 0.012981 = 7.8598,7.859817934354237
2024-11-25 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-11-25 08:00:00.000,Close Position,98217.77,98205.72221182,,0.0,0.000000 * 98217.77 = 0.0000,4.401222702010007,(98217.77 - 98205.72) - (97714.28 - 98066.90) = 364.6678; 364.6678 * 0.012069 = 4.4012,4.401222702010007
2024-11-26 00:00:00.000,Funding,,,0.00011425,0.0,,0.0,,0.0
